epoch	noa	simplea	mixup	labelsmooth
0	1.450795665	1.720299513	1.604425253	1.491101636
1	1.091976924	1.500095208	1.325530136	1.115205817
2	0.944496713	1.393002012	1.207188287	0.963142451
3	0.848859413	1.325355729	1.136000152	0.863401031
4	0.778569089	1.274271672	1.085442334	0.792384522
5	0.711601707	1.239454644	1.04052235	0.730035903
6	0.65075036	1.203593359	0.995084734	0.671187801
7	0.593863673	1.179554622	0.959325304	0.619124796
8	0.53664933	1.159390316	0.913287781	0.569360606
9	0.487906342	1.131130934	0.876576426	0.518933666
10	0.436196441	1.116097458	0.844969317	0.471812103
11	0.388677424	1.095746358	0.81528022	0.424540615
12	0.346571053	1.097007261	0.788499678	0.379402979
13	0.296107665	1.071490921	0.756960753	0.333933959
14	0.255587924	1.057866743	0.731126266	0.293077554
15	0.215176473	1.046877741	0.711283932	0.253584858
16	0.177386872	1.035429981	0.690292117	0.216462242
17	0.147554062	1.0229936	0.672067249	0.18253409
18	0.120852852	1.011100124	0.663417022	0.155661048
19	0.094933488	0.995760986	0.64226579	0.128959526
20	0.076674499	0.996913924	0.630471464	0.105396463
21	0.062283094	0.987439678	0.613929856	0.084056214
22	0.048653573	0.977284911	0.605894045	0.069902266
23	0.038291451	0.970951927	0.594686529	0.054896875
24	0.03166542	0.964407959	0.594401729	0.04536611
25	0.025515096	0.959344702	0.582297302	0.036432299
26	0.02139726	0.94603972	0.573693942	0.030564757
27	0.01637945	0.936238266	0.572736548	0.025373106
28	0.015439662	0.936912144	0.563745162	0.021279358
29	0.013848942	0.925879115	0.551314993	0.016071707
30	0.009854563	0.918441295	0.554021899	0.013155279
31	0.008787398	0.912371768	0.553423581	0.011690938
32	0.008135944	0.911714763	0.547144285	0.012866433
33	0.005863165	0.900029234	0.54881433	0.009470964
34	0.006311709	0.898892063	0.539564468	0.006375808
35	0.006918951	0.896070842	0.542735676	0.007283389
36	0.005248277	0.888024444	0.538958451	0.006083435
37	0.003649017	0.87963381	0.53314049	0.005868325
38	0.004512159	0.881045733	0.52700046	0.003892053
39	0.005634073	0.874651833	0.527730995	0.004435494
40	0.003117687	0.873975116	0.527263072	0.004216581
41	0.003281218	0.861678505	0.524825257	0.002191676
42	0.004649023	0.859234299	0.518478772	0.004906455
43	0.003832782	0.856636348	0.521872748	0.0043108
44	0.002034674	0.857388943	0.518226856	0.002356748
45	0.004596868	0.85346151	0.516641173	0.001658024
46	0.00311323	0.848257116	0.511106711	0.003751425
47	0.004258637	0.846665384	0.515546433	0.003334519
48	0.002970798	0.841650214	0.510201702	0.001197498
49	0.001706817	0.843768758	0.508379867	0.003794343
50	0.002353878	0.835199623	0.511253628	0.002678455
51	0.002378862	0.828571263	0.505852505	0.001485985
52	0.002484354	0.826434686	0.513745284	0.002311885
53	0.000329742	0.826578086	0.507577717	0.002516861
54	0.002305764	0.821023312	0.503998408	0.002770363
55	0.002194854	0.824871681	0.504605423	0.0024145
56	0.000828554	0.820245401	0.500470674	0.001877934
57	0.000150854	0.811970044	0.502441795	0.002727435
58	0.001953262	0.810907562	0.499790363	0.003919324
59	0.00061844	0.806259517	0.504712114	0.0006818
60	0.001383488	0.807290718	0.498192164	0.002179567
61	0.000107771	0.801645103	0.501088964	0.002061746
62	0.002321025	0.800281362	0.493534312	0.000452476
63	0.000113115	0.802842938	0.499221906	0.001150095
64	0.001861224	0.798622014	0.496434107	0.001245146
65	0.001174774	0.795484776	0.491803013	0.0005859
66	8.76E-05	0.797706534	0.497437488	0.004435885
67	0.002161466	0.793070712	0.490780302	0.001842258
68	0.000115941	0.794165782	0.497396953	0.000510777
69	0.002418627	0.787654761	0.490964168	0.001963235
70	0.002288347	0.78782442	0.492660516	0.002591175
71	0.003600748	0.78711703	0.491984096	0.001629093
72	0.003104417	0.783084072	0.494364323	0.002390255
73	0.002019238	0.778729778	0.492293332	0.001575295
74	0.003191654	0.778291622	0.48602455	0.001048699
75	0.000351133	0.776393136	0.484431777	0.003513318
76	0.003273492	0.775777113	0.48846771	0.000308563
77	0.002561341	0.769333456	0.484560116	0.002496913
78	0.003871202	0.771177786	0.484943943	0.002586965
79	0.003200207	0.766465786	0.484818669	0.002074159
80	0.004360606	0.766215481	0.488336574	0.000226238
81	0.003553388	0.768429719	0.484715622	0.001218898
82	0.003795955	0.76591644	0.488752625	0.001161542
83	0.000489642	0.761214303	0.488048158	0.003397712
84	0.000202367	0.758920902	0.482651931	0.001436453
85	0.002554785	0.758053423	0.485900423	0.003575495
86	0.000136162	0.75864906	0.482350583	0.0002646
87	0.000815968	0.756078555	0.478610426	0.000768787
88	0.003809141	0.757161244	0.481093049	0.000178493
89	0.002421601	0.748663776	0.481465353	0.002192093
90	0.0029546	0.753469075	0.486752011	0.000822101
91	0.003375792	0.753312601	0.480837396	0.000951518
92	0.00158148	0.750019929	0.479855939	8.36E-05
93	0.001826702	0.751771642	0.482671929	0.003752937
94	0.001117132	0.748234938	0.476021339	0.001385387
95	0.003945634	0.748493188	0.479430456	0.001624547
96	0.001807205	0.74257862	0.474720099	0.00379362
97	0.000765938	0.74056547	0.480305002	0.001748038
98	0.00253307	0.746702479	0.479594123	0.000991898
99	0.001722074	0.746860504	0.47848776	6.10E-05
